id,timestamp,x,y,z,label
E,289468697420926,2.3361423,9.414599,-0.051475335,0
E,289468737345407,2.3211784,9.470863,-0.11552023,0
E,289468777465459,2.2786815,9.46009,-0.03232172,0
E,289468817074573,2.3080103,9.506178,-0.040102877,0
E,289468857024365,2.4211364,9.506178,0.035314474,0
E,289468896897959,2.3948002,9.446322,0.09756372,0
E,289468936848999,2.3822308,9.43495,0.09876082,0
E,289468976713376,2.4528596,9.41879,0.17477672,0
E,289469016610043,2.5605986,9.36492,0.19273324,0
E,289469056626760,2.5971103,9.374496,0.1448492,0
E,289469095806135,2.5474305,9.449316,0.2621651,0
E,289469136332491,2.3600843,9.434352,0.23822308,0
E,289469176343689,2.4791958,9.42238,0.18016368,0
E,289469214206969,2.4313118,9.437943,0.14185645,0
E,289469256047178,2.5318682,9.433753,0.1340753,0
E,289469295965094,2.569577,9.411607,0.11312603,0
E,289469335890509,2.6767175,9.412206,0.20470424,0
E,289469374062802,2.5965118,9.362526,0.20470424,0
E,289469415641865,2.5893292,9.332599,0.19812019,0
E,289469456629572,2.5019407,9.372103,0.16998832,0
E,289469495327907,2.4169466,9.409213,0.1921347,0
E,289469535267488,2.4211364,9.537302,0.15622166,0
E,289469575124574,2.4642322,9.4972,0.1592144,0
E,289469615027698,2.4540567,9.41879,0.062249243,0
E,289469655169676,2.3732524,9.371504,0.078410104,0
E,289469694284782,2.4139538,9.387665,0.110133275,0
E,289469734740926,2.460641,9.4696665,0.12150574,0
E,289469774700667,2.3983915,9.430161,0.15382746,0
E,289469814560406,2.492364,9.450513,0.17836803,0
E,289469854458114,2.508525,9.370307,0.14604631,0
E,289469892084364,2.4893713,9.3822775,0.11611878,0
E,289469934307020,2.4396915,9.439739,0.11312603,0
E,289469974164990,2.4893713,9.405622,0.17357962,0
E,289470014374781,2.509722,9.461287,0.11432313,0
E,289470054032437,2.5504234,9.402629,0.10594343,0
E,289470093691343,2.5809495,9.354146,0.15981296,0
E,289470133789416,2.6384103,9.442732,0.19632454,0
E,289470173732124,2.6084828,9.36073,0.14664486,0
E,289470213576343,2.6240451,9.372103,0.055066638,0
E,289470253486812,2.5743654,9.331401,0.07062895,0
E,289470291299105,2.5031378,9.376292,0.110731825,0
E,289470333310145,2.6084828,9.455301,0.10354923,0
E,289470371102385,2.554613,9.408015,0.093972415,0
E,289470410764833,2.5671828,9.326612,0.06823475,0
E,289470450518322,2.5689783,9.39365,0.05207389,0
E,289470490715301,2.4642322,9.360131,0.108936176,0
E,289470530701030,2.5234885,9.459491,0.08200141,0
E,289470572367749,2.5432408,9.402629,0.011372458,0
E,289470612179155,2.4073699,9.390657,0.08678981,0
E,289470652038062,2.460641,9.428965,0.061052144,0
E,289470691944103,2.4612393,9.431359,0.054468088,0
E,289470732534937,2.5240872,9.494206,0.01616086,0
E,289470772238114,2.5408466,9.396045,0.12090719,0
E,289470810386447,2.528277,9.4217825,0.10474633,0
